order_id,customer_id,customer_name,email,city,gender,age,product_id,product_name,brand,category_name,price,quantity,discount,discount_amount,total_price,net_revenue,order_date,order_month,status,order_flag,payment_method,payment_status,transaction_id
1,6,Customer 6,customer6@example.com,Rawalpindi,Male,24,6,Product 6,Nike,Category 48,27774.0,4,10.0,11109.6,111096.0,99986.4,2025-01-02 00:00:00,2025-01,Pending,Open,JazzCash,Pending,TXN00001
2,3,Customer 3,customer3@example.com,Lahore,Male,49,25,Product 25,Apple,Category 8,15913.0,3,10.0,4773.9,47739.0,42965.1,2025-01-03 00:00:00,2025-01,Pending,Open,Bank Transfer,Failed,TXN00002
3,20,Customer 20,customer20@example.com,Lahore,Female,46,21,Product 21,Samsung,Books,6049.0,5,5.0,1512.25,30245.0,28732.75,2025-01-04 00:00:00,2025-01,Completed,Closed,Cash,Paid,TXN00071
4,40,Customer 40,customer40@example.com,Karachi,Male,34,7,Product 7,Nike,Category 17,1055.0,5,0.0,0.0,5275.0,5275.0,2025-01-05 00:00:00,2025-01,Pending,Open,JazzCash,Paid,TXN00004
5,16,Customer 16,customer16@example.com,Islamabad,Female,55,15,Product 15,Sony,Category 21,26866.0,1,15.0,4029.9,26866.0,22836.1,2025-01-06 00:00:00,2025-01,Pending,Open,Cash,Pending,TXN00005
6,5,Customer 5,customer5@example.com,Faisalabad,Male,35,18,Product 18,Apple,Category 14,44701.0,5,0.0,0.0,223505.0,223505.0,2025-01-07 00:00:00,2025-01,Pending,Open,JazzCash,Paid,TXN00074
7,19,Customer 19,customer19@example.com,Islamabad,Male,53,41,Product 41,Hp,Category 46,21108.0,1,10.0,2110.8,21108.0,18997.2,2025-01-08 00:00:00,2025-01,Completed,Closed,JazzCash,Failed,TXN00007
8,7,Customer 7,customer7@example.com,Lahore,Male,19,31,Product 31,Nike,Category 36,37591.0,2,10.0,7518.2,75182.0,67663.8,2025-01-09 00:00:00,2025-01,Pending,Open,JazzCash,Failed,TXN00106
9,12,Customer 12,customer12@example.com,Islamabad,Female,19,33,Product 33,Samsung,Category 35,30500.0,2,5.0,3050.0,61000.0,57950.0,2025-01-10 00:00:00,2025-01,Pending,Open,Bank Transfer,Paid,TXN00098
10,7,Customer 7,customer7@example.com,Lahore,Male,19,21,Product 21,Samsung,Books,6049.0,3,10.0,1814.7,18147.0,16332.3,2025-01-11 00:00:00,2025-01,Pending,Open,Card,Pending,TXN00065
11,35,Customer 35,customer35@example.com,Lahore,Male,53,14,Product 14,Sony,Category 19,33254.0,2,0.0,0.0,66508.0,66508.0,2025-01-12 00:00:00,2025-01,Completed,Closed,JazzCash,Paid,TXN00067
12,48,Customer 48,customer48@example.com,Lahore,Male,28,40,Product 40,Apple,Category 35,36558.0,5,5.0,9139.5,182790.0,173650.5,2025-01-13 00:00:00,2025-01,Pending,Open,Bank Transfer,Unknown,TXN00109
13,35,Customer 35,customer35@example.com,Lahore,Male,53,20,Product 20,Hp,Category 35,35399.0,4,5.0,7079.8,141596.0,134516.2,2025-01-14 00:00:00,2025-01,Pending,Open,Card,Failed,TXN00095
14,17,Customer 17,customer17@example.com,Rawalpindi,Female,20,46,Product 46,Hp,Category 39,7798.0,2,0.0,0.0,15596.0,15596.0,2025-01-15 00:00:00,2025-01,Cancelled,Closed,Cash,Failed,TXN00144
15,36,Customer 36,customer36@example.com,Lahore,Female,22,29,Product 29,Apple,Category 9,8016.0,4,10.0,3206.4,32064.0,28857.6,2025-01-16 00:00:00,2025-01,Cancelled,Closed,Bank Transfer,Paid,TXN00015
16,30,Customer 30,customer30@example.com,Lahore,Female,48,29,Product 29,Apple,Category 9,8016.0,5,0.0,0.0,40080.0,40080.0,2025-01-17 00:00:00,2025-01,Completed,Closed,JazzCash,Pending,TXN00113
17,17,Customer 17,customer17@example.com,Rawalpindi,Female,20,22,Product 22,Nike,Category 11,35772.0,2,15.0,10731.6,71544.0,60812.4,2025-01-18 00:00:00,2025-01,Pending,Open,JazzCash,Failed,TXN00052
18,37,Customer 37,customer37@example.com,Faisalabad,Male,18,42,Product 42,Apple,Category 14,3096.0,4,0.0,0.0,12384.0,12384.0,2025-01-19 00:00:00,2025-01,Pending,Open,EasyPaisa,Paid,TXN00127
19,38,Customer 38,customer38@example.com,Karachi,Female,35,45,Product 45,Samsung,Category 26,4706.0,3,5.0,705.9,14118.0,13412.1,2025-01-20 00:00:00,2025-01,Cancelled,Closed,Cash,Paid,TXN00126
20,17,Customer 17,customer17@example.com,Rawalpindi,Female,20,9,Product 9,Nike,Category 30,46638.0,2,10.0,9327.6,93276.0,83948.4,2025-01-21 00:00:00,2025-01,Completed,Closed,Bank Transfer,Failed,TXN00020
21,12,Customer 12,customer12@example.com,Islamabad,Female,19,37,Product 37,Hp,Category 38,11118.0,4,0.0,0.0,44472.0,44472.0,2025-01-22 00:00:00,2025-01,Pending,Open,Bank Transfer,Paid,TXN00021
22,12,Customer 12,customer12@example.com,Islamabad,Female,19,32,Product 32,Apple,Category 18,19869.0,1,10.0,1986.9,19869.0,17882.1,2025-01-23 00:00:00,2025-01,Cancelled,Closed,JazzCash,Failed,TXN00083
23,44,Customer 44,customer44@example.com,Islamabad,Female,44,42,Product 42,Apple,Category 14,3096.0,4,5.0,619.2,12384.0,11764.8,2025-01-24 00:00:00,2025-01,Pending,Open,Cash,Failed,TXN00023
24,44,Customer 44,customer44@example.com,Islamabad,Female,44,21,Product 21,Samsung,Books,6049.0,4,15.0,3629.4,24196.0,20566.6,2025-01-25 00:00:00,2025-01,Pending,Open,EasyPaisa,Failed,TXN00024
25,22,Customer 22,customer22@example.com,Faisalabad,Female,19,46,Product 46,Hp,Category 39,7798.0,4,10.0,3119.2,31192.0,28072.8,2025-01-26 00:00:00,2025-01,Cancelled,Closed,Bank Transfer,Unknown,TXN00079
26,5,Customer 5,customer5@example.com,Faisalabad,Male,35,15,Product 15,Sony,Category 21,26866.0,1,10.0,2686.6,26866.0,24179.4,2025-01-27 00:00:00,2025-01,Pending,Open,JazzCash,Failed,TXN00026
27,20,Customer 20,customer20@example.com,Lahore,Female,46,33,Product 33,Samsung,Category 35,30500.0,2,10.0,6100.0,61000.0,54900.0,2025-01-28 00:00:00,2025-01,Cancelled,Closed,JazzCash,Paid,TXN00108
28,24,Customer 24,customer24@example.com,Karachi,Female,28,20,Product 20,Hp,Category 35,35399.0,5,5.0,8849.75,176995.0,168145.25,2025-01-29 00:00:00,2025-01,Cancelled,Closed,Cash,Unknown,TXN00140
29,39,Customer 39,customer39@example.com,Islamabad,Male,36,45,Product 45,Samsung,Category 26,4706.0,4,0.0,0.0,18824.0,18824.0,2025-01-30 00:00:00,2025-01,Pending,Open,Card,Failed,TXN00029
30,37,Customer 37,customer37@example.com,Faisalabad,Male,18,39,Product 39,Samsung,Category 11,29014.0,5,15.0,21760.5,145070.0,123309.5,2025-01-31 00:00:00,2025-01,Pending,Open,Unknown,Pending,TXN00138
31,28,Customer 28,customer28@example.com,Faisalabad,Male,50,10,Product 10,Samsung,Category 33,25270.0,3,5.0,3790.5,75810.0,72019.5,2025-02-01 00:00:00,2025-02,Cancelled,Closed,Bank Transfer,Pending,TXN00130
32,32,Customer 32,customer32@example.com,Faisalabad,Female,40,47,Product 47,Sony,Category 14,36080.0,1,15.0,5412.0,36080.0,30668.0,2025-02-02 00:00:00,2025-02,Cancelled,Closed,Cash,Failed,TXN00107
33,25,Customer 25,customer25@example.com,Lahore,Male,30,41,Product 41,Hp,Category 46,21108.0,3,5.0,3166.2,63324.0,60157.8,2025-02-03 00:00:00,2025-02,Cancelled,Closed,JazzCash,Failed,TXN00101
34,34,Customer 34,customer34@example.com,Karachi,Male,53,47,Product 47,Sony,Category 14,36080.0,1,0.0,0.0,36080.0,36080.0,2025-02-04 00:00:00,2025-02,Completed,Closed,Card,Unknown,TXN00077
35,18,Customer 18,customer18@example.com,Faisalabad,Male,44,41,Product 41,Hp,Category 46,21108.0,1,0.0,0.0,21108.0,21108.0,2025-02-05 00:00:00,2025-02,Pending,Open,JazzCash,Failed,TXN00072
36,43,Customer 43,customer43@example.com,Lahore,Female,19,50,Product 50,Apple,Category 16,5832.0,5,0.0,0.0,29160.0,29160.0,2025-02-06 00:00:00,2025-02,Completed,Closed,Cash,Paid,TXN00128
37,28,Customer 28,customer28@example.com,Faisalabad,Male,50,16,Product 16,Nike,Clothing,13663.0,4,15.0,8197.8,54652.0,46454.2,2025-02-07 00:00:00,2025-02,Pending,Open,EasyPaisa,Failed,TXN00037
38,9,Customer 9,customer9@example.com,Rawalpindi,Male,32,21,Product 21,Samsung,Books,6049.0,4,15.0,3629.4,24196.0,20566.6,2025-02-08 00:00:00,2025-02,Pending,Open,JazzCash,Failed,TXN00121
39,39,Customer 39,customer39@example.com,Islamabad,Male,36,8,Product 8,Sony,Home,14760.0,4,15.0,8856.0,59040.0,50184.0,2025-02-09 00:00:00,2025-02,Pending,Open,Cash,Unknown,TXN00119
40,18,Customer 18,customer18@example.com,Faisalabad,Male,44,43,Product 43,Apple,Electronics,48110.0,3,5.0,7216.5,144330.0,137113.5,2025-02-10 00:00:00,2025-02,Completed,Closed,JazzCash,Pending,TXN00040
41,1,Customer 1,customer1@example.com,Islamabad,Male,25,48,Product 48,Apple,Category 31,17479.0,5,5.0,4369.75,87395.0,83025.25,2025-02-11 00:00:00,2025-02,Cancelled,Closed,Card,Pending,TXN00041
42,2,Customer 2,customer2@example.com,Faisalabad,Female,59,29,Product 29,Apple,Category 9,8016.0,5,0.0,0.0,40080.0,40080.0,2025-02-12 00:00:00,2025-02,Cancelled,Closed,Bank Transfer,Paid,TXN00042
43,17,Customer 17,customer17@example.com,Rawalpindi,Female,20,39,Product 39,Samsung,Category 11,29014.0,2,5.0,2901.4,58028.0,55126.6,2025-02-13 00:00:00,2025-02,Pending,Open,JazzCash,Failed,TXN00043
44,35,Customer 35,customer35@example.com,Lahore,Male,53,19,Product 19,Sony,Category 25,23034.0,2,5.0,2303.4,46068.0,43764.6,2025-02-14 00:00:00,2025-02,Completed,Closed,Cash,Failed,TXN00044
45,49,Customer 49,customer49@example.com,Rawalpindi,Female,32,20,Product 20,Hp,Category 35,35399.0,5,10.0,17699.5,176995.0,159295.5,2025-02-15 00:00:00,2025-02,Cancelled,Closed,Bank Transfer,Pending,TXN00045
46,35,Customer 35,customer35@example.com,Lahore,Male,53,29,Product 29,Apple,Category 9,8016.0,2,10.0,1603.2,16032.0,14428.8,2025-02-16 00:00:00,2025-02,Completed,Closed,Bank Transfer,Paid,TXN00142
47,50,Customer 50,customer50@example.com,Karachi,Female,51,27,Product 27,Samsung,Category 36,21519.0,1,5.0,1075.95,21519.0,20443.05,2025-02-17 00:00:00,2025-02,Cancelled,Closed,Cash,Unknown,TXN00139
48,19,Customer 19,customer19@example.com,Islamabad,Male,53,25,Product 25,Apple,Category 8,15913.0,2,0.0,0.0,31826.0,31826.0,2025-02-18 00:00:00,2025-02,Pending,Open,EasyPaisa,Paid,TXN00048
49,48,Customer 48,customer48@example.com,Lahore,Male,28,8,Product 8,Sony,Home,14760.0,5,0.0,0.0,73800.0,73800.0,2025-02-19 00:00:00,2025-02,Cancelled,Closed,JazzCash,Failed,TXN00082
50,5,Customer 5,customer5@example.com,Faisalabad,Male,35,19,Product 19,Sony,Category 25,23034.0,2,10.0,4606.8,46068.0,41461.2,2025-02-20 00:00:00,2025-02,Cancelled,Closed,Card,Failed,TXN00050
51,116,Customer 116,unknown@example.com,Faisalabad,Male,41,120,Product 120,Apple,Unknown Category,7621.32,3,0.0,0.0,22863.96,22863.96,2025-09-16 00:00:00,2025-09,Shipped,Closed,No Payment Record,No Payment Record,UNKNOWN
52,115,Customer 115,customer115@example.com,Islamabad,Unknown,41,78,Product 78,Generic,Category 42,15487.61,2,0.0,0.0,30975.22,30975.22,2025-12-21 00:00:00,2025-12,Pending,Open,No Payment Record,No Payment Record,UNKNOWN
53,41,Customer 41,customer41@example.com,Islamabad,Male,59,4,Product 4,Nike,Category 9,3609.0,5,0.0,0.0,18045.0,18045.0,2025-02-28 12:00:00,2025-02,Completed,Closed,Unknown,Paid,TXN00125
54,84,Customer 84,customer84@example.com,Rawalpindi,Male,41,113,Product 113,Generic,Unknown Category,15487.61,5,0.0,0.0,77438.05,77438.05,2025-05-16 00:00:00,2025-05,Pending,Open,No Payment Record,No Payment Record,UNKNOWN
55,72,Customer 72,unknown@example.com,Islamabad,Male,41,105,Product 105,Generic,Category 99,15487.61,5,10.0,7743.8,77438.05,69694.25,2025-04-17 00:00:00,2025-04,Cancelled,Closed,No Payment Record,No Payment Record,UNKNOWN
56,28,Customer 28,customer28@example.com,Faisalabad,Male,50,103,Product 103,Apple,Category 99,21287.5,3,15.0,9579.38,63862.5,54283.12,2025-02-28 12:00:00,2025-02,Pending,Open,No Payment Record,No Payment Record,UNKNOWN
57,54,Customer 54,unknown@example.com,Sialkot,Male,41,14,Product 14,Sony,Category 19,33254.0,3,10.0,9976.2,99762.0,89785.8,2025-02-19 00:00:00,2025-02,Shipped,Closed,No Payment Record,No Payment Record,UNKNOWN
58,70,Customer 70,customer70@example.com,Multan,Female,41,87,Product 87,Generic,Unknown Category,15487.61,3,10.0,4646.28,46462.83,41816.55,2025-02-28 12:00:00,2025-02,Pending,Open,No Payment Record,No Payment Record,UNKNOWN
59,64,Customer 64,customer64@example.com,Rawalpindi,Unknown,41,26,Product 26,Hp,Category 50,9370.0,1,15.0,1405.5,9370.0,7964.5,2025-03-22 00:00:00,2025-03,Completed,Closed,No Payment Record,No Payment Record,UNKNOWN
61,70,Customer 70,customer70@example.com,Multan,Female,41,78,Product 78,Generic,Category 42,15487.61,1,5.0,774.38,15487.61,14713.23,2025-10-21 00:00:00,2025-10,Completed,Closed,Cash,Paid,TXN00051
62,38,Customer 38,customer38@example.com,Karachi,Female,35,55,Product 55,Nike,Unknown Category,25248.0,3,0.0,0.0,75744.0,75744.0,2025-06-27 00:00:00,2025-06,Cancelled,Closed,JazzCash,Paid,TXN00078
